id,bridge_no,bridge_name,route_name,route_grade,bridge_type,structure_type,span_combination,total_length,total_width,clear_span,design_load,anti_seismic,design_unit,construct_unit,supervise_unit,complete_date,open_date,manage_unit,maintain_unit,check_level,tech_status,maintenance_length,longitude,latitude,photo_front,photo_left,photo_right,remark
1,CQ001,石板坡长江大桥,长江大桥南桥头立交,城市主干路,梁式桥,预应力混凝土T型刚构,86.5+4×138+156+174+104.5,1120.00,21.00,165.30,公路-Ⅱ级,6度,上海市政工程设计院,重庆市桥梁工程公司,重庆交通工程监理公司,1980-07-01,1980-07-01,重庆市城投公司,重庆路桥股份有限公司,Ⅰ,1,1120.00,106.5500,29.5570,,,,重庆中心城区首座跨长江公路桥，桥头有春夏秋冬雕塑
2,CQ002,石板坡长江大桥复线桥,长江大桥南桥头立交,城市主干路,梁式桥,预应力混凝土连续刚构,87.35+4×138+330+133.75,1103.00,19.00,313.50,城-A级,6度,上海市政工程设计研究院,中交第二航务工程局,重庆华兴工程监理公司,2006-09-25,2006-09-25,重庆市城投公司,重庆路桥股份有限公司,Ⅰ,1,1103.00,106.5510,29.5560,,,,世界最大跨径连续刚构桥
3,CQ003,菜园坝长江大桥,重庆内环快速,城市快速路,钢-混凝土组合拱桥,中承式钢箱系杆拱桥,102+88+420+102+88,800.00,30.50,399.00,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2007-10-29,2007-10-29,重庆市建委,重庆市市政设施管理局,Ⅰ,1,1866.00,106.5450,29.5520,,,,世界首座公轨两用城市大桥
4,CQ004,鹅公岩长江大桥,九龙坡区主干道,城市快速路,悬索桥,门型双塔柱悬索桥,600,1420.00,35.50,594.00,城-A级,6度,重庆市设计院,重庆桥梁工程总公司,重庆交通工程监理公司,2000-12-28,2000-12-28,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,1022.00,106.5200,29.5300,,,,世界最大跨度自锚式悬索桥
5,CQ005,鹅公岩轨道大桥,轨道环线,城市轨道交通,悬索桥,五跨连续钢箱梁自锚式悬索桥,600,1120.00,20.00,594.00,城-B级,6度,中铁二院工程集团,中铁大桥局集团,重庆赛迪工程咨询公司,2019-07-01,2019-07-01,重庆市轨道集团,重庆市轨道交通维保公司,Ⅰ,1,1120.00,106.5210,29.5290,,,,轨道环线专用桥
6,CQ006,李家沱长江大桥,巴南区李家沱大道,城市主干路,斜拉桥,双塔双索面预应力混凝土斜拉桥,444,1288.00,24.50,439.56,公路-Ⅰ级,6度,重庆市设计院,重庆桥梁工程总公司,重庆交通工程监理公司,1997-12-01,1997-12-01,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,1288.00,106.5400,29.4800,,,,当时国内最大斜拉桥
7,CQ007,马桑溪长江大桥,内环快速路,城市快速路,斜拉桥,三跨双塔双索面漂浮体系斜拉桥,360,1104.00,28.80,356.40,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2001-12-26,2001-12-26,重庆高速集团,重庆高速养护公司,Ⅰ,1,1104.00,106.4900,29.4700,,,,采用世界最先进平行钢绞线斜拉索体系
8,CQ008,鱼洞长江大桥,渝南大道,城市主干路,梁式桥,预应力混凝土连续刚构,260,1541.60,41.60,257.40,城-A级,6度,中铁二院工程集团,中铁大桥局集团,中铁华铁工程设计集团,2011-08-13,2011-08-13,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,1541.60,106.5000,29.3800,,,,世界首座同桥面公路轻轨两用桥
9,CQ009,东水门长江大桥,渝中区东水门,城市快速路,斜拉桥,双塔单索面钢桁梁斜拉桥,445,858.00,24.00,440.55,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,重庆赛迪工程咨询公司,2014-03-31,2014-03-31,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,858.00,106.5900,29.5600,,,,公轨两用桥，天梭形双桥塔
10,CQ010,朝天门长江大桥,重庆内环快速,城市快速路,拱桥,中承式连续钢桁系杆拱桥,190+552+190,1741.00,36.50,546.48,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2009-04-29,2009-04-29,重庆市建委,重庆市市政设施管理局,Ⅰ,1,1741.00,106.6000,29.5800,,,,世界第一大跨径拱桥
11,CQ011,大佛寺长江大桥,内环快速路,城市快速路,斜拉桥,双塔双索面斜拉桥,450,1168.00,28.00,445.50,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2002-01-01,2002-01-01,重庆高速集团,重庆高速养护公司,Ⅰ,1,1168.00,106.6200,29.6000,,,,主城区下游第一座长江大桥
12,CQ012,寸滩长江大桥,重庆内环快速,城市快速路,悬索桥,钢箱梁单跨悬索桥,880,1520.00,35.00,871.20,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2017-12-31,2017-12-31,重庆市城投公司,重庆市市政设施管理局,Ⅰ,1,1520.00,106.6300,29.6200,,,,主城上游重要跨江通道
13,CQ013,鱼嘴两江大桥,绕城高速,高速公路,悬索桥,单跨双铰简支钢箱梁悬索桥,616,1438.00,33.50,609.84,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2009-12-31,2009-12-31,重庆高速集团,重庆高速养护公司,Ⅰ,1,1438.00,106.6800,29.6500,,,,绕城高速跨长江通道
14,CQ014,观音岩长江大桥,成渝高速,高速公路,斜拉桥,双塔双索面斜拉桥,450,1120.00,29.00,445.50,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2009-12-31,2009-12-31,重庆高速集团,重庆高速养护公司,Ⅰ,1,1120.00,106.2500,29.3000,,,,成渝高速跨长江通道
15,CQ015,鼎山长江大桥,江津区鼎山大道,城市主干路,斜拉桥,公轨两用斜拉桥,464,1100.00,30.00,459.36,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2013-06-26,2013-06-26,江津区建委,江津区市政局,Ⅰ,1,1100.00,106.2700,29.2800,,,,重庆首座公轨两用斜拉桥
16,CQ016,地维长江大桥,珞璜镇地维大道,二级公路,斜拉桥,双塔双索面预应力混凝土斜拉桥,345,737.00,15.00,341.55,公路-Ⅱ级,6度,重庆市交通规划设计院,重庆桥梁工程总公司,重庆交通工程监理公司,2006-12-28,2006-12-28,重庆市交通局,江津区公路局,Ⅱ,1,737.00,106.4200,29.3200,,,,珞璜工业园区跨江通道
17,CQ017,外环江津长江大桥,绕城高速,高速公路,斜拉桥,中国首座跨长江叠合梁斜拉桥,436,1170.00,33.50,431.64,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2009-12-31,2009-12-31,重庆高速集团,重庆高速养护公司,Ⅰ,1,1170.00,106.2800,29.2600,,,,绕城高速跨长江通道
18,CQ018,白沙沱长江大桥,渝黔铁路,铁路专用,梁式桥,钢桁梁桥,80,820.00,10.00,79.20,中-活载,6度,铁道部大桥工程局,铁道部大桥工程局,铁道部监理公司,1959-12-10,1959-12-10,成都铁路局,成都铁路局重庆工务段,Ⅰ,1,820.00,106.4200,29.3500,,,,重庆第一座跨长江铁路桥
19,CQ019,新白沙沱长江大桥,渝黔铁路,铁路专用,斜拉桥,双层六线铁路斜拉桥,432,5320.00,24.50,427.68,中-活载,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2018-01-25,2018-01-25,成都铁路局,成都铁路局重庆工务段,Ⅰ,1,5320.00,106.4210,29.3510,,,,世界首座双层六线铁路斜拉桥
20,CQ020,江津长江大桥,江津区长江路,二级公路,梁式桥,预应力混凝土T型刚构,240,1360.00,16.50,237.60,公路-Ⅱ级,6度,重庆市交通规划设计院,重庆桥梁工程总公司,重庆交通工程监理公司,1997-12-01,1997-12-01,江津区交通局,江津区公路局,Ⅱ,1,1360.00,106.2500,29.2800,,,,江津区跨长江通道
21,CQ021,几江长江大桥,江津区几江大道,城市主干路,悬索桥,单跨悬索桥,600,1738.00,30.50,594.00,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2016-07-08,2016-07-08,江津区建委,江津区市政局,Ⅰ,1,1738.00,106.2600,29.2900,,,,江津区重要跨江通道
22,CQ022,油溪长江大桥,合璧津高速,高速公路,斜拉桥,双塔双索面斜拉桥,460,1178.00,33.50,455.40,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2023-01-01,2023-01-01,重庆高速集团,重庆高速养护公司,Ⅰ,1,1178.00,106.2200,29.2400,,,,合璧津高速跨长江通道
23,CQ023,永川长江大桥,三环高速,高速公路,斜拉桥,双塔双索面斜拉桥,608,1895.00,33.50,601.92,公路-Ⅰ级,6度,中交公路规划设计院,中交第二航务工程局,重庆华兴工程监理公司,2014-12-26,2014-12-26,重庆高速集团,重庆高速养护公司,Ⅰ,1,1895.00,105.9200,29.3800,,,,三环高速跨长江通道
24,CQ024,郭家沱长江大桥,快速路六纵线,城市快速路,悬索桥,单跨悬索桥,720,1403.00,37.00,712.80,城-A级,6度,中铁大桥勘测设计院,中铁大桥局集团,中铁华铁工程设计集团,2023-01-18,2023-01-18,重庆市住建委,重庆市市政设施管理局,Ⅰ,1,1403.00,106.6800,29.6000,,,,世界最大跨径公轨两用悬索桥
